CATEGORY,INCLUDE (1=yes; 0=no),DESCRIPTION,ROW_ID,,
Radiology,,CT TRACHEA W/O C W/3D REND,210,,
Radiology,,L SHOULDER 2-3 VIEWS NON TRAUMA LEFT,209,,
Radiology,,MMS SUGICAL PLANNING SERVICE,209,,
Radiology,,UNILAT LOWER EXT VEINS,206,,
Radiology,,C-SPINE (PORTABLE),203,,
Radiology,,L FOREARM (AP & LAT) LEFT,203,,
Radiology,,O PORTABLE ABDOMEN IN O.R.,202,,
Radiology,,MRI ABDOMEN W/O CONTRAST,202,,
Radiology,,LUMBAR SPINAL PUNCTURE,201,,
Radiology,,INITAL 2ND ORDER ABD/PEL/LOWER EXT A-GRAM,200,,
Radiology,,BX-NEEDLE KIDNEY BY NEPHROLOGIST,199,,
Radiology,,O CHEST FLUORO WITHOUT RADIOLOGIST IN O.R.,199,,
Radiology,,R FOREARM (AP & LAT) RIGHT,198,,
Radiology,,P CHEST (SINGLE VIEW) PORT,198,,
Case Management ,1,Case Management Continued Stay Review,197,,
Radiology,,EXCH CENTRAL TUNNELED W/O PORT,196,,
Radiology,,BAS/UGI AIR/SBFT,196,,
Radiology,,DIG DIAGNOSTIC MAMMO BILATERAL,196,,
Radiology,,L CT LOW EXT W/O C LEFT,195,,
Radiology,,ERCP BILIARY ONLY BY GI UNIT,193,,
Radiology,,MAMMOGRAM (SCREENING),193,,
Radiology,,RENAL U.S. (PORTABLE),192,,
Radiology,,O C-SPINE NON-TRAUMA 2-3 VIEWS IN O.R.,190,,
Radiology,,INTRO CATH RENAL PELVIS FOR DRAINAGE,190,,
Radiology,,PTA VENOUS,187,,
Radiology,,"G TUBE PLACMENT, ALL INCL.",185,,
Radiology,,CT PERITINEAL DRAIN EXCLUDING APPENDICEAL,180,,
Radiology,,INTRO PERC TRNASHEPATIC STENT,179,,
Radiology,,"B KNEE (AP, LAT & OBLIQUE) BILAT",177,,
Radiology,,"GB DRAINAGE,INTRO PERC TRANHEP BIL US",174,,
Radiology,,L VENOUS DUP EXT UNI (MAP/DVT) LEFT,174,,
Nursing,1,Nursing 1900-0700,172,,
Radiology,,ART EXT (REST&EXERCISE),171,,
Radiology,,COMPLETE GU U.S. (BLADDER & RENAL),171,,
Radiology,,CT CHEST W&W/O C,169,,
Radiology,,MR-ANGIO HEAD,169,,
Radiology,,UGI SGL CONTRAST W/ KUB,168,,
Radiology,,CT STEREOTAXIS W/ CONTRAST,168,,
Radiology,,R VENOUS DUP EXT UNI (MAP/DVT) RIGHT,168,,
Radiology,,CHEST U.S.,167,,
Radiology,,P CHEST (PRE-OP AP ONLY) PORT,167,,
Radiology,,SCOLIOSIS SERIES,166,,
Radiology,,"CT ABD & PELVIS W & W/O CONTRAST, ADDL SECTIONS",166,,
Radiology,,P DUPLEX DOPP ABD/PEL PORT,166,,
Radiology,,G/GJ TUBE CHECK,164,,
Radiology,,"B FOOT AP,LAT & OBL BILAT",164,,
Radiology,,TEETH (PANOREX FOR DENTAL),162,,
Rehab Services,,Physical Therapy Contact Note,161,,
Radiology,,"PELVIS U.S., TRANSVAGINAL",161,,
Radiology,,"CT ORBIT, SELLA & IAC W/O CONTRAST",159,,
Physician ,,CVICU,159,,
Radiology,,"B HAND (AP, LAT & OBLIQUE) BILAT",159,,
Radiology,,MRI PELVIS W/O & W/CONTRAST,157,,
Radiology,,UNRELATED PROCEDURE/SERVICE DURING POSTOPERATIVE PERIOD,156,,
Radiology,,R RENAL TRANSPLANT U.S. RIGHT,155,,
Radiology,,CT GUIDANCE DRAINAGE,155,,
Radiology,,SMALL BOWEL ONLY (BARIUM),153,,
Radiology,,CAD SCREENING,152,,
Radiology,,INTRO DIALYSIS FISTULA,151,,
Radiology,,TRANSCATHETER BIOPSY,151,,
Radiology,,CT PELVIS W&W/O C,149,,
Radiology,,REDUCED SERVICES,149,,
Radiology,,GASTRIC EMPTYING STUDY,148,,
Physician ,1,Physician Fellow / Attending Admission Note - MICU,147,,
Radiology,,CT EMERGENCY HEAD W/O CONTRAST,147,,
Radiology,,PERIPHERAL W/O PORT,146,,
Radiology,,"L FINGER(S),2+VIEWS LEFT",146,,
Radiology,,MR 3D RENDERING W/POST PROCESSING ON INDEPENDENT WS,145,,
Radiology,,CTA AORTA/BIFEM/ILIAC RUNOFF W/W&WO C AND RECONS,144,,
Radiology,,"REPLACE GJ TUBE, ALL INCL.",144,,
Radiology,,MULTI-PROCEDURE SAME DAY,142,,
Physician ,1,Resident / Attending Notes,138,,
Radiology,,P RENAL TRANSPLANT U.S. PORT,136,,
Radiology,,DIG SCREENING WITH CAD MAMMOGRAM,136,,
Radiology,,"PELVIS (AP, INLET & OUTLET)",136,,
Radiology,,O CHEST (PORTABLE AP) IN O.R.,135,,
Radiology,,REPOSITION CATHETER,135,,
Radiology,,"REPLACE G OR C TUBE, ALL INCL.",134,,
Radiology,,L FEMORAL VASCULAR US LEFT,134,,
Radiology,,ART EXT SGL LEVEL,132,,
Radiology,,CTA ABD & PELVIS,128,,
Radiology,,BABYGRAM (ABD ANY SGL VIEW) (74000),128,,
Radiology,,REPOSITION GASTRIC TUBE INTO DUODENUM,127,,
Radiology,,P TRAUMA #2 (AP CXR & PELVIS PORT) PORT,127,,
Radiology,,MR THORACIC SPINE,126,,
Radiology,,MRA NECK W&W/O CONTRAST,125,,
Radiology,,INITAL 3RD ORDER ABD/PEL/LOWER EXT A-GRAM,124,,
Radiology,,IMPLANT VENOUS ACCESS PORT,124,,
Rehab Services,1,Occupational Therapy Evaluation Note,123,,
Physician ,1,ICU Event Note,123,,
Radiology,,"NECK,SOFT TISSUE US",123,,
Radiology,,SKELETAL SURVEY (INCLUD LONG BONES),123,,
Radiology,,MR CARDIAC MORPH/FX P/P CONTRAST,122,,
Radiology,,P CHEST (PA & LAT) PORT,122,,
Radiology,,PORTABLE HEAD CT W/O CONTRAST,121,,
Radiology,,"FOLLOW-UP,REQUEST BY RAD.",120,,
Radiology,,O HIP 1 VIEW IN O.R.,120,,
Radiology,,B FEMUR (AP & LAT) BILAT,119,,
Radiology,,UNILAT BREAST US,119,,
Radiology,,ART DUP EXT LOW/BILAT COMP,118,,
Radiology,,B WRIST(3 + VIEWS) BILAT,118,,
Radiology,,CT CHEST W/CONTRAST W/ONC TABLE,118,,
Radiology,,INJ NEPHROSTOMY/PYLOSTOMY,117,,
Radiology,,UD GUID FOR NEEDLE PLACMENT,117,,
Case Management ,1,Discharge Planning Note,117,,
Radiology,,"O LUMBAR SP,SINGLE FILM IN O.R.",117,,
Radiology,,L CLAVICLE LEFT,117,,
Radiology,,FISTULOGRAM/SINOGRAM,116,,
Radiology,,INTRO AORTA FEM/AXIL,116,,
Radiology,,IN-111 WHITE BLOOD CELL STUDY,116,,
Radiology,,B TIB/FIB (AP & LAT) BILAT,116,,
Radiology,,DIG DIAGNOSTIC MAMMO UNLIAT,115,,
Radiology,,SKULL AP&LAT/C-SP/CXR/ABD SLG VIEWS MR SCREENING,115,,
Radiology,,RENAL SCAN,112,,
Radiology,,RP UNILAT LOWER EXT VEINS RIGHT PORT,110,,
Radiology,,ABD (SINGLE VIEW ONLY),110,,
Radiology,,"TRAUMA SERIES (LAT C-SPINE, AP CXR, AP PELVIS PORT)",108,,
Radiology,,HIP UNILAT MIN 2 VIEWS,107,,
Radiology,,CAROTID DUPLEX US,104,,
Radiology,,R ART DUP EXT LO UNI;F/U RIGHT,103,,
Radiology,,"CATH INFUSN,PER/CENT/MID(NOT DIAL)",103,,
Radiology,,VENOUS DUP UPPER EXT BILATERAL,102,,
Radiology,,T-TUBE CHOLANGIO (POST-OP),101,,
Radiology,,"RP FOOT AP,LAT & OBL RIGHT PORT",101,,
Radiology,,DRAINAGE HEMATOMA/FLUID,101,,
Radiology,,O ABDOMEN (SUPINE ONLY) IN O.R.,99,,
Radiology,,CT C-SPINE W/CONTRAST,99,,
Radiology,,FLUORO 1 HR W/RADIOLOGIST,99,,
Radiology,,"MRI SOFT TISSUE NECK, W/O & W/CONTRAST",99,,
Radiology,,"B ANKLE (AP, MORTISE & LAT) BILAT",99,,
Radiology,,MR PITUITARY W&W/O CONTRAST,98,,
Radiology,,CHANGE GASTROSTOMY TUBE,98,,
Radiology,,"L ELBOW, AP & LAT VIEWS LEFT",98,,
Radiology,,L MR SHOULDER W/O CONTRAST LEFT,97,,
Physician ,1,MICU Attending Admission Note,97,,
Radiology,,O T-SPINE IN O.R.,97,,
Radiology,,HIP (UNILAT 2 VIEW) W/PELVIS (1 VIEW),96,,
Radiology,,CT TRACHEA W/O C W/RECONS,96,,
Radiology,,INSERT HEPATIC HUNT TIPS,96,,
Radiology,,TRANSCATH THERAPY,96,,
Radiology,,"R FINGER(S),2+VIEWS RIGHT",95,,
Radiology,,B KNEE (2 VIEWS) BILAT,95,,
Radiology,,LP UNILAT LOWER EXT VEINS LEFT PORT,95,,
Radiology,,"LP FOOT AP,LAT & OBL LEFT PORT",95,,
Radiology,,"L RIB UNILAT, W/ AP CHEST LEFT",94,,
Radiology,,P CHEST (LAT DECUB ONLY) PORT,93,,
Radiology,,CENTRAL TUNNELED W/O PORT,93,,
Radiology,,R MR SHOULDER W/O CONTRAST RIGHT,92,,
Radiology,,ACUTE ABD SERIES (2-3 VIEWS OF ABD & SGL CHEST VIEW),92,,
Radiology,,O ABD (SINGLE VIEW ONLY) IN O.R.,92,,
Radiology,,R MR KNEE W/O CONTRAST RIGHT,92,,
Radiology,,MRA CHEST W&W/O CONTRAST,92,,
Radiology,,1SR ORDER BRANCH VENOUS SYSTEM,92,,
Radiology,,BILAT DIAGNOSTIC MAMMOGRAM,92,,
Physician ,1,Physician Fellow Progress Note - MICU,92,,
Radiology,,"R RIB UNILAT, W/ AP CHEST RIGHT",92,,
Radiology,,"R ELBOW, AP & LAT VIEWS RIGHT",92,,
Physician ,1,MICU Attending Progress Note,91,,
Radiology,,CT SINUS W/ CONTRAST,91,,
Radiology,,MR C-SPINE SCAN WITH CONTRAST,91,,
Radiology,,US INTR-OP 60 MINS,90,,
Radiology,,"MR CARDIAC/FUNCTION, COMPL",88,,
Radiology,,RELATED PROCEDURE DURING POSTOPERATIVE PERIOD,88,,
Radiology,,MRI CHEST/MEDIASTINUM W/O & W/CONTRAST,88,,
Radiology,,R CLAVICLE RIGHT,87,,
Radiology,,TRANSCATH PLCMT INTRAVAS STENT,85,,
Radiology,,P BABYGRAM ABD WITH DECUB (74020) PORT,85,,
Physician ,1,Attending Note,84,,
Radiology,,P UNILAT UP EXT VEINS US PORT,84,,
Radiology,,"MOD SEDATION, FIRST 30 MIN.",84,,
Radiology,,BONE DENSITOMETRY,83,,
Radiology,,L MR KNEE W/O CONTRAST LEFT,83,,
Radiology,,"MOD SEDATION, EACH ADDL 15 MIN.",83,,
Radiology,,MR FUNCTIONAL BRAIN BY PHYS/PSYCH,82,,
Radiology,,PELVIS WITH JUDET VIEWS,82,,
Radiology,,US INTRA-OP 30 MINS,82,,
Radiology,,O C-SPINE (PORTABLE) IN O.R.,82,,
Radiology,,MR CARDIAC W/FLOW/VEL P/P CONTRAST,82,,
Radiology,,CT GUIDED NEEDLE PLACTMENT,82,,
Radiology,,CT LUNG/MEDIASTINAL BX,82,,
Radiology,,TUBE CHOLANGIOGRAM,81,,
Radiology,,CHANGE PERC TUBE OR CATH W/CONTRAST,81,,
Radiology,,FEE ADJUSTED IN SPECIFIC SITUATION,80,,
Radiology,,LP WRIST(3 + VIEWS) LEFT PORT,79,,
Radiology,,CT SINUS/MAXLIOFACIAL W/O CONTRAST,79,,
Radiology,,MRI PELVIS W/O CONTRAST,79,,
Radiology,,"R ANKLE (AP, LAT & OBLIQUE) RIGHT",79,,
Radiology,,"L ANKLE (AP, LAT & OBLIQUE) LEFT",78,,
Radiology,,ABD COMPL INCLUDING LAT DECUB,78,,
Radiology,,CT BRAIN PERFUSION,78,,
Radiology,,L LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST LEFT,77,,
Radiology,,"ABDOMEN, SINGLE VIEW",77,,
Radiology,,INJ/ASP MAJOR JT W/FLUORO,74,,
Radiology,,CT L-SPINE W/ CONTRAST,74,,
Radiology,,TUNNELED W/ PORT,74,,
Radiology,,CT NECK W/ & W/O CONTRAST,73,,
Radiology,,MR RECONSTRUCTION IMAGING,73,,
Radiology,,HIP 1 VIEW,73,,
Radiology,,INTRO CATH SVC/IVC,73,,
Radiology,,PELVIS W/JUDET VIEWS (3V),73,,
Radiology,,CT T-SPINE W/ CONTRAST,73,,
Radiology,,COLON (GASTROGRAF),72,,
Radiology,,NECK SOFT TISSUES,71,,
Radiology,,"SKULL (AP, TOWNES & LAT) TRAUMA",71,,
Radiology,,MRA ABDOMEN W&W/O CONTRAST,71,,
Radiology,,EMERG BILAT LOWER EXT VEINS,71,,
Radiology,,POUCHOGRAM,70,,
Radiology,,"L-SPINE (AP,LAT,FLEX,EXT)",70,,
Radiology,,OUTSIDE FILMS READ ONLY,70,,
Radiology,,L HIP (UNILAT 2 VIEW) W/PELVIS (1 VIEW) LEFT,70,,
Radiology,,"NASAL/OROGASTRC TUBE PLMT, PRO FEE ONLY",70,,
Radiology,,GUID WIRES INCL INF,69,,
Radiology,,P CHEST FLUORO WITHOUT RADIOLOGIST PORT,69,,
Radiology,,CT ABSCESS CATH CHANGE,68,,
Radiology,,MANDIBLE SERIES INCLUD PANOREX,67,,
Radiology,,REPOSITION CENTRAL VENOUS CATH W/FLUORO,67,,
Radiology,,BABYGRAM ABD WITH DECUB (74020),67,,
Radiology,,RVG,67,,
Radiology,,CT FINE NEEDLE ASP,66,,
Radiology,,COLON (BARIUM ENEMA),66,,
Radiology,,"CT ORBITS, SELLA & IAC W/ CONTRAST",66,,
Radiology,,UGI AIR W/ SBFT,66,,
Radiology,,REVISN HEPATIC SHUNT TIPS,66,,
Radiology,,RP FEMORAL VASCULAR US RIGHT PORT,66,,
Radiology,,RP WRIST(3 + VIEWS) RIGHT PORT,65,,
Radiology,,P BILAT UP EXT VEINS US PORT,65,,
Radiology,,"R ANKLE/FOOT (AP, LAT & OBL) RIGHT",65,,
Rehab Services,1,Swallowing Follow-Up,65,,
Radiology,,RETROPERITONEAL LIMITED US,65,,
Radiology,,LP KNEE (2 VIEWS) LEFT PORT,65,,
Radiology,,PELVIS PORTABLE,65,,
